time,open,high,low,close
1259764200,111.28,112.00999,110.92,111.25
1259850600,111.55,112.17999,110.28999,110.38
1259937000,111.84,112.38,110.03999,111.00999
1260196200,110.91,111.53,110.49001,110.84
1260282600,110.03999,110.77251,109.27,109.61
1260369000,109.58,110.17999,109.02,110.021
1260455400,110.7,111.12,110.45,110.64
1260541800,111.11,111.36,110.61,111.11
1260801000,111.87,112,105.476,111.87
1260887400,111.46001,111.92,111,111.35001
1260973800,111.8,112.13,111.27,111.52
1261060200,110.72,110.92999,110.08,110.17999
1261146600,110.2,110.3,109.28,110.21001
1261405800,110.75999,111.7,110.75999,111.33
1261492200,111.57001,111.97,111.425,111.73
1261578600,112,112.11,111.5,111.95
1261665000,112.19,112.60001,111.9948,112.48
1262010600,112.89999,112.99001,112.32001,112.72
1262097000,113.00999,113.03,112.55,112.562
1262183400,112.23,112.64999,112.17,112.52
1262269800,112.77,112.8,111.39,111.44
1262615400,112.37,113.39,111.50999,113.33
1262701800,113.25999,113.67999,112.85001,113.63
1262788200,113.52,113.99001,113.42999,113.71001
1262874600,113.5,114.33,113.17999,114.19
1262961000,113.89,114.62,113.66,114.57001
1263220200,115.08,115.13,114.235,114.73
1263306600,113.97,114.21001,113.22,113.66
1263393000,113.95,114.94,113.37,114.62
1263479400,114.49001,115.14,114.42,114.92999
1263565800,114.73,114.84,113.2,113.64
1263911400,113.62,115.13,113.59,115.06
1263997800,114.28,114.45,112.98,113.89
1264084200,113.92,114.27,111.56,111.7
1264170600,111.2,111.74159,109.09,109.21001
1264429800,110.21001,110.41,109.41,109.77
1264516200,109.34,110.47,109.03999,109.31
1264602600,109.17,110.08,108.33,109.83
1264689000,110.19,110.25,107.91,108.57001
1264775400,109.03999,109.8,107.22,107.39
1265034600,108.14999,109.07001,107.50079,109.06
1265121000,109.25999,110.59,108.88,110.38
1265207400,109.88,110.48151,109.50999,109.83
1265293800,108.98,109.03,106.42,106.44
1265380200,106.56,106.88,104.58,106.66
1265639400,106.74001,107.33,105.80991,105.89
